iter	Passed	Remaining
0	119	47489
1	131	26114
2	199	26364
3	207	20510
4	211	16699
5	224	14714
6	242	13598
7	253	12429
8	258	11217
9	277	10834
10	293	10362
11	308	9975
12	334	9954
13	349	9643
14	356	9140
15	359	8626
16	363	8178
17	404	8576
18	414	8319
19	431	8202
20	437	7890
21	451	7765
22	460	7553
23	470	7366
24	478	7177
25	486	6991
26	502	6938
27	529	7036
28	541	6924
29	549	6773
30	561	6682
31	573	6596
32	642	7150
33	656	7067
34	668	6976
35	681	6887
36	689	6763
37	697	6640
38	708	6554
39	719	6471
40	733	6425
41	748	6380
42	759	6304
43	784	6345
44	820	6471
45	828	6372
46	838	6296
47	849	6229
48	856	6135
49	870	6093
50	880	6025
51	892	5973
52	903	5914
53	913	5853
54	924	5797
55	935	5746
56	943	5678
57	954	5630
58	964	5576
59	975	5530
60	995	5530
61	1006	5488
62	1018	5447
63	1030	5408
64	1044	5380
65	1095	5543
66	1112	5528
67	1127	5503
68	1143	5483
69	1157	5458
70	1171	5429
71	1182	5386
72	1192	5341
73	1206	5314
74	1219	5282
75	1231	5249
76	1241	5206
77	1255	5182
78	1263	5133
79	1278	5112
80	1283	5056
81	1296	5029
82	1307	4995
83	1331	5008
84	1339	4965
85	1348	4925
86	1362	4901
87	1372	4865
88	1386	4844
89	1401	4828
90	1414	4802
91	1427	4777
92	1434	4734
93	1445	4706
94	1456	4674
95	1464	4639
96	1474	4605
97	1486	4580
98	1495	4547
99	1505	4515
100	1509	4468
101	1514	4423
102	1524	4396
103	1534	4366
104	1547	4347
105	1560	4329
106	1584	4337
107	1594	4310
108	1605	4287
109	1624	4282
110	1638	4265
111	1652	4250
112	1664	4228
113	1675	4203
114	1687	4181
115	1700	4163
116	1715	4148
117	1721	4114
118	1730	4086
119	1739	4058
120	1749	4033
121	1759	4008
122	1768	3982
123	1777	3957
124	1783	3922
125	1792	3898
126	1804	3879
127	1818	3863
128	1828	3840
129	1839	3821
130	1845	3788
131	1855	3767
132	1865	3745
133	1875	3722
134	1895	3720
135	1904	3697
136	1917	3681
137	1931	3667
138	1941	3646
139	1950	3621
140	1963	3606
141	1974	3588
142	1988	3573
143	2001	3558
144	2015	3544
145	2036	3543
146	2050	3529
147	2065	3517
148	2127	3583
149	2136	3560
150	2148	3542
151	2159	3523
152	2169	3502
153	2183	3488
154	2198	3475
155	2217	3468
156	2237	3463
157	2253	3451
158	2270	3441
159	2285	3428
160	2316	3438
161	2333	3428
162	2348	3414
163	2359	3395
164	2369	3374
165	2379	3354
166	2388	3332
167	2428	3353
168	2441	3336
169	2461	3329
170	2487	3330
171	2504	3320
172	2516	3301
173	2527	3282
174	2537	3262
175	2547	3242
176	2559	3224
177	2567	3202
178	2577	3182
179	2588	3164
180	2599	3145
181	2609	3125
182	2622	3109
183	2628	3085
184	2640	3068
185	2651	3050
186	2664	3035
187	2675	3017
188	2688	3001
189	2709	2994
190	2747	3006
191	2763	2993
192	2773	2975
193	2786	2958
194	2795	2939
195	2804	2919
196	2814	2900
197	2822	2879
198	2832	2861
199	2841	2841
200	2850	2822
201	2859	2802
202	2867	2782
203	2877	2764
204	2885	2744
205	2898	2729
206	2908	2711
207	2917	2692
208	2925	2673
209	2933	2654
210	2942	2635
211	2950	2616
212	2959	2598
213	2969	2580
214	2978	2562
215	2988	2546
216	2998	2528
217	3010	2513
218	3021	2496
219	3031	2480
220	3050	2470
221	3062	2455
222	3101	2461
223	3111	2444
224	3120	2426
225	3128	2408
226	3137	2391
227	3146	2373
228	3156	2356
229	3164	2339
230	3174	2322
231	3183	2305
232	3191	2287
233	3199	2269
234	3207	2252
235	3215	2234
236	3224	2217
237	3234	2201
238	3243	2184
239	3259	2173
240	3275	2160
241	3295	2151
242	3307	2136
243	3318	2121
244	3326	2104
245	3337	2089
246	3350	2075
247	3360	2059
248	3371	2044
249	3382	2029
250	3390	2012
251	3401	1997
252	3412	1982
253	3420	1966
254	3431	1951
255	3439	1934
256	3450	1919
257	3460	1904
258	3473	1890
259	3482	1875
260	3492	1859
261	3506	1847
262	3515	1831
263	3524	1815
264	3532	1799
265	3540	1783
266	3549	1768
267	3558	1752
268	3567	1737
269	3577	1722
270	3585	1706
271	3594	1691
272	3602	1676
273	3611	1660
274	3620	1645
275	3628	1630
276	3637	1615
277	3646	1600
278	3655	1585
279	3663	1569
280	3672	1555
281	3681	1540
282	3689	1525
283	3698	1510
284	3707	1496
285	3716	1481
286	3725	1466
287	3736	1453
288	3746	1438
289	3760	1426
290	3769	1412
291	3779	1397
292	3789	1383
293	3798	1369
294	3806	1354
295	3816	1340
296	3826	1327
297	3836	1313
298	3847	1299
299	3857	1285
300	3870	1272
301	3881	1259
302	3891	1245
303	3900	1231
304	3909	1217
305	3918	1203
306	3930	1190
307	3943	1177
308	3951	1163
309	3961	1150
310	3975	1137
311	3993	1126
312	4002	1112
313	4019	1101
314	4029	1087
315	4038	1073
316	4048	1060
317	4057	1046
318	4066	1032
319	4076	1019
320	4085	1005
321	4094	991
322	4104	978
323	4116	965
324	4125	952
325	4134	938
326	4143	925
327	4154	912
328	4164	898
329	4174	885
330	4182	871
331	4224	865
332	4237	852
333	4258	841
334	4302	834
335	4322	823
336	4368	816
337	4379	803
338	4425	796
339	4437	783
340	4447	769
341	4492	761
342	4507	748
343	4517	735
344	4560	727
345	4575	714
346	4623	706
347	4653	695
348	4666	681
349	4678	668
350	4691	654
351	4705	641
352	4719	628
353	4734	615
354	4744	601
355	4757	587
356	4771	574
357	4783	561
358	4792	547
359	4800	533
360	4808	519
361	4817	505
362	4825	491
363	4834	478
364	4842	464
365	4851	450
366	4859	436
367	4870	423
368	4879	409
369	4887	396
370	4897	382
371	4908	369
372	4918	356
373	4927	342
374	4936	329
375	4947	315
376	4958	302
377	4968	289
378	4977	275
379	4986	262
380	4995	249
381	5003	235
382	5013	222
383	5022	209
384	5032	196
385	5042	182
386	5052	169
387	5061	156
388	5069	143
389	5078	130
390	5088	117
391	5098	104
392	5109	91
393	5120	77
394	5129	64
395	5141	51
396	5152	38
397	5161	25
398	5170	12
399	5178	0
